Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2023-05-30,8615.0,0.0,train,,,,
2023-05-31,8743.0,0.0,train,,,,
2023-06-01,8885.0,0.0,train,,,,
2023-06-02,9332.0,0.0,train,,,,
2023-06-03,9946.0,0.0,train,,,,
2023-06-04,10486.0,0.0,train,,,,
2023-06-05,10307.0,0.0,train,,,,
2023-06-06,10374.0,0.0,train,,,,
2023-06-07,11159.0,0.0,train,,,,
2023-06-08,9359.0,0.0,train,,,,
2023-06-09,9995.0,0.0,train,,,,
2023-06-10,9650.0,0.0,train,,,,
2023-06-11,11679.0,0.0,train,,,,
2023-06-12,9836.0,0.0,train,,,,
2023-06-13,9958.0,0.0,train,,,,
2023-06-14,10086.0,0.0,train,,,,
2023-06-15,9747.0,0.0,train,,,,
2023-06-16,11032.0,0.0,train,,,,
2023-06-17,9533.0,0.0,train,,,,
2023-06-18,9528.0,0.0,train,,,,
2023-06-19,10897.0,0.0,train,,,,
2023-06-20,11468.0,0.0,train,,,,
2023-06-21,9767.0,0.0,train,,,,
2023-06-22,9905.0,0.0,train,,,,
2023-06-23,10480.0,0.0,train,,,,
2023-06-24,9435.0,0.0,train,,,,
2023-06-25,10434.0,0.0,train,,,,
2023-06-26,10336.0,0.0,train,,,,
2023-06-27,9743.0,0.0,train,,,,
2023-06-28,10241.0,0.0,train,,,,
2023-06-29,10422.0,0.0,train,,,,
2023-06-30,8990.0,0.0,train,,,,
2023-07-01,8967.0,0.0,train,,,,
2023-07-02,10956.0,0.0,train,,,,
2023-07-03,11012.0,0.0,train,,,,
2023-07-04,10892.0,0.0,train,,,,
2023-07-05,9830.0,0.0,train,,,,
2023-07-06,9522.0,0.0,train,,,,
2023-07-07,9705.0,0.0,train,,,,
2023-07-08,11858.0,0.0,train,,,,
2023-07-09,10117.0,0.0,train,,,,
2023-07-10,9972.0,0.0,train,,,,
2023-07-11,9682.0,0.0,train,,,,
2023-07-12,10385.0,0.0,train,,,,
2023-07-13,10191.0,0.0,train,,,,
2023-07-14,10101.0,0.0,train,,,,
2023-07-15,9346.0,0.0,train,,,,
2023-07-16,9750.0,0.0,train,,,,
2023-07-17,11093.0,0.0,train,,,,
2023-07-18,9541.0,0.0,train,,,,
2023-07-19,10093.0,0.0,train,,,,
2023-07-20,9463.0,0.0,train,,,,
2023-07-21,9884.0,0.0,train,,,,
2023-07-22,10032.0,0.0,train,,,,
2023-07-23,10260.0,0.0,train,,,,
2023-07-24,9637.0,0.0,train,,,,
2023-07-25,10405.0,0.0,train,,,,
2023-07-26,11188.0,0.0,train,,,,
2023-07-27,10109.0,0.0,train,,,,
2023-07-28,11134.0,0.0,train,,,,
2023-07-29,9281.0,0.0,train,,,,
2023-07-30,10254.0,0.0,train,,,,
2023-07-31,8735.0,0.0,train,,,,
2023-08-01,10910.0,0.0,train,,,,
2023-08-02,10824.0,0.0,train,,,,
2023-08-03,10446.0,0.0,train,,,,
2023-08-04,9793.0,0.0,train,,,,
2023-08-05,10339.0,0.0,train,,,,
2023-08-06,10220.0,0.0,train,,,,
2023-08-07,9164.0,0.0,train,,,,
2023-08-08,11164.0,0.0,train,,,,
2023-08-09,10456.0,0.0,train,,,,
2023-08-10,11856.0,0.0,train,,,,
2023-08-11,10770.0,0.0,train,,,,
2023-08-12,9809.0,0.0,train,,,,
2023-08-13,10003.0,0.0,train,,,,
2023-08-14,9925.0,0.0,train,,,,
2023-08-15,10561.0,0.0,train,,,,
2023-08-16,10356.0,0.0,train,,,,
2023-08-17,10352.0,0.0,train,,,,
2023-08-18,10447.0,0.0,train,,,,
2023-08-19,9694.0,0.0,train,,,,
2023-08-20,9980.0,0.0,train,,,,
2023-08-21,9783.0,0.0,train,,,,
2023-08-22,10477.0,0.0,train,,,,
2023-08-23,10046.0,0.0,train,,,,
2023-08-24,10042.0,0.0,train,,,,
2023-08-25,9899.0,0.0,train,,,,
2023-08-26,9740.0,0.0,train,,,,
2023-08-27,10778.0,0.0,train,,,,
2023-08-28,9533.0,0.0,train,,,,
2023-08-29,9122.0,0.0,train,,,,
2023-08-30,10322.0,0.0,train,,,,
2023-08-31,9051.0,0.0,train,,,,
2023-09-01,9532.0,0.0,train,,,,
2023-09-02,8417.0,0.0,train,,,,
2023-09-03,9007.0,0.0,train,,,,
2023-09-04,9009.0,0.0,train,,,,
2023-09-05,10209.0,0.0,train,,,,
2023-09-06,9316.0,0.0,train,,,,
2023-09-07,9192.0,0.0,train,,,,
2023-09-08,8960.0,0.0,train,,,,
2023-09-09,9126.0,0.0,train,,,,
2023-09-10,9407.0,0.0,train,,,,
2023-09-11,10243.0,0.0,train,,,,
2023-09-12,8738.0,0.0,train,,,,
2023-09-13,8985.0,0.0,train,,,,
2023-09-14,9470.0,0.0,train,,,,
2023-09-15,9386.0,0.0,train,,,,
